 0 1 2 3 4 5
1143763317 False False False False False False
1143764956 False False False False False False
1143766594 False False False False True False
1143768233 False False False False True False
1143769871 False False False False False False
1143771509 False False False False True False
1143773148 False False False False True False
1143774786 False False False False False False
1143776425 False False False False False False
1143778063 False False False False True False
1143779701 False False False False True False
1143781340 False False False False False False
1143782978 False False False False True False
1143784617 False False False False True False
1143786255 False False False False False False
1143787893 False False False False False False
1143789532 False False False False True False
1143791170 False False False False False False
1143792809 False False False False False False
1143794447 False False False False False False
1143796085 False False False False False False
1143797724 False False False False False False
1143799362 False False False False False True
1143801001 False False False False True True
1143802639 False False True False False False
1143804277 False False False False True False
1143805916 False False False False False False
1143807554 False False True False False False
1143809193 False False True False False True
1143810831 True False False False False False
1143812469 False False False False False False
1143814108 False False False False False False
1143815746 False False False False True False
1143817385 False False True False False False
1143819023 False False False False False False
1143820661 False False False False True False
1143822300 False False False False True False
1143823938 False False False False True False
1143825577 False False False False False False
1143827215 False False False False False False
1143828853 False False False False False False
1143830492 False False False False False False
1143832130 False False False False False False
1143833769 False False False False False False
1143835407 False False False False True False
1143837045 False False False False False False
1143838684 False False False False True True
1143840322 False False False False False True
1143841961 False False False False True False
1143843599 False False False False False False
1143845237 False False False False False False
1143846876 False False False False False False
1143848514 False False False False True False
1143850153 True False False False False False
1143851791 False False False False False False
1143853429 False False False False False True
1143855068 False False False False True False
1143856706 False False False False True False
1143858345 False False False False False False
1143859983 False False False False False False
