 0 1 2 3 4 5
1143763317 0 0 0 0 0 0
1143764956 0 0 0 0 0 0
1143766594 0 0 0 0 1 0
1143768233 0 0 0 0 2 0
1143769871 0 0 0 0 0 0
1143771509 0 0 0 0 0 0
1143773148 0 0 0 0 2 0
1143774786 0 0 0 0 0 0
1143776425 0 0 0 0 0 0
1143778063 0 0 0 0 1 0
1143779701 0 0 0 0 1 0
1143781340 0 0 0 0 0 0
1143782978 0 0 0 0 2 0
1143784617 0 0 0 0 2 0
1143786255 0 0 0 0 0 0
1143787893 0 0 0 0 0 0
1143789532 0 0 0 0 2 0
1143791170 0 0 0 0 0 0
1143792809 0 0 0 0 0 0
1143794447 0 0 0 0 0 0
1143796085 0 0 0 0 0 0
1143797724 0 0 0 0 0 0
1143799362 0 0 0 0 0 1
1143801001 0 0 0 0 1 1
1143802639 0 0 1 0 0 0
1143804277 0 0 0 0 1 0
1143805916 0 0 0 0 0 0
1143807554 0 0 1 0 0 0
1143809193 0 0 1 0 0 1
1143810831 1 0 0 0 0 0
1143812469 0 0 0 0 0 0
1143814108 0 0 0 0 0 0
1143815746 0 0 0 0 1 0
1143817385 0 0 1 0 0 0
1143819023 0 0 0 0 0 0
1143820661 0 0 0 0 1 0
1143822300 0 0 0 0 0 0
1143823938 0 0 0 0 2 0
1143825577 0 0 0 0 0 0
1143827215 0 0 0 0 0 0
1143828853 0 0 0 0 0 0
1143830492 0 0 0 0 0 0
1143832130 0 0 0 0 0 0
1143833769 0 0 0 0 0 0
1143835407 0 0 0 0 1 0
1143837045 0 0 0 0 0 0
1143838684 0 0 0 0 0 2
1143840322 0 0 0 0 0 1
1143841961 0 0 0 0 1 0
1143843599 0 0 0 0 0 0
1143845237 0 0 0 0 0 0
1143846876 0 0 0 0 0 0
1143848514 0 0 0 0 1 0
1143850153 1 0 0 0 0 0
1143851791 0 0 0 0 0 0
1143853429 0 0 0 0 0 1
1143855068 0 0 0 0 2 0
1143856706 0 0 0 0 1 0
1143858345 0 0 0 0 0 0
1143859983 0 0 0 0 0 0
