2016-04-09 1144229908 17.2 +0.4 −0.3 +y+y 1729 -7 -7 -57 -39 1.09 0.55 -0.05
2016-05-04 1146429822 1.7 +3.1 −0.6       0.45 1.24 0.56
2016-05-16 1147442122 0.7 +0.5 −0.5       0.14 1.34 0.77
2016-05-16 1147453726 14.4 +0.8 −0.4 +x+x 3438 -2 162 45 -56 0.14 1.34 0.77
