 0 1 2 3 4 5
1144401301 False False False False False False
1144402940 False False True False False False
1144404578 False False False False True False
1144406217 False False False False True False
1144407855 False False False False True False
1144409493 True False False False False False
1144411132 False False False False False False
1144412770 False False False False False False
1144414409 False False False False False False
1144416047 False False False False False False
1144417685 False False False False False False
1144419324 False False False False False False
1144420962 False False False False True False
1144422601 False False False False False False
1144424239 False False False False True False
1144425877 False False False False False False
1144427516 False False False False False False
1144429154 False False False False False False
1144430793 False False False False False False
1144432431 False False False False True False
1144434069 False False False False False False
1144435708 True False False False False False
1144437346 False False False False False False
1144438985 False False False False True False
1144440623 False False False False True False
1144442261 False False False False False False
1144443900 False False False False False False
1144445538 False False False False False False
1144447177 False False False False True True
1144448815 False False False False False False
1144450453 False False False False False False
1144452092 False False False False False False
1144453730 False False False False False False
1144455369 False False False False True False
1144457007 False False False False True False
1144459845 False False False False False False
1144461484 False False False False False False
1144463122 False False False False True False
1144464761 False False False False False False
1144466399 False False False False True False
1144468037 False False False False False False
1144469676 False False False False True False
1144471314 False False False False True False
1144472953 False False False False True True
1144474591 False False False False True False
1144476229 False False False False True False
1144477868 False False False False True False
1144479506 False False False False False False
1144481145 False False False False True False
1144482783 False False False False False False
1144484421 False False False False True True
1144486060 False False False False False False
1144487698 True False False False True False
1144489337 False False False False True False
1144490975 False False False False True False
1144492613 False False False False False False
1144494252 False False False False False False
1144495890 False False False False True False
1144497529 False False False False False False
1144499167 True False False False True False
1144500805 False False False False True False
1144502444 False False False False True False
1144504082 False False False False True False
1144505721 False False False False False False
1144507359 False False False False False False
1144508997 False False False False False False
1144510636 False False False False True False
1144512274 False False False False True False
1144513913 False False False False False False
1144515551 False False False False False False
1144517189 False False False False False False
1144518828 True False False False True False
1144520466 False False False False False False
1144522105 False False False False True False
1144523743 False False False False True False
1144525381 False False False False False True
1144527020 False False False False False False
1144528658 False False False False True False
1144530297 False False False False False False
1144531935 False False False False False False
1144533573 False False False False False False
1144535212 False False False False False False
1144536850 False False False False True False
1144538489 False False False False True False
1144540127 False False False False False False
1144541765 False False False False False False
1144543404 False False False False False False
1144545042 False False False False False False
1144546681 False False False False False False
1144548319 False False False False False False
1144549957 False False False False True False
1144551596 False False False False True False
1144553234 False False False False True False
1144554873 False False False False True False
1144556511 False False False False False False
1144559349 False False False False False False
1144560988 False False False False True False
1144562626 False False False False True True
1144564264 False False False False False False
1144565903 False False False False True False
1144567541 False False False False False False
1144569180 False False False False False False
1144570818 False False False False False False
1144572456 False False False False True False
1144574095 False False False False True False
1144575733 False False False False True False
1144577372 False False False False False False
1144579010 False False False False False False
1144580648 False False False False False False
1144582287 False False False False True False
1144583925 False False False False False True
1144585564 False False False False True False
1144587202 False False False False False False
1144588840 False False False False True False
1144590479 False False False False True False
1144592117 False False False False True False
1144593756 False False False False True False
1144595394 False False False False True False
1144597032 False False False False False False
1144598671 False False False False True False
1144600309 False False False False False False
1144601948 False False False False False False
1144603586 False False False False True False
1144605224 False False False False True False
1144606863 False False False False False False
1144608501 False False False False False False
1144610140 False False False False True False
1144611778 False False False False True False
1144613416 False False False False False False
1144615055 False False False False True False
1144616693 False False False False False False
1144618332 False False False False False False
1144619970 False False False False True False
1144621608 True False False False True False
1144623247 False False False False False False
1144624885 False False False False True False
1144626524 False False False False True False
1144628162 False False False True False False
1144629800 False False False False False False
1144631439 False False False False True True
1144633077 False False False False False False
1144634716 False False False False False False
1144636354 False False False False True False
1144637992 False False False False True False
1144639631 False False False False False False
1144641269 False False False False True False
1144642908 False False False False False False
1144644546 False False False False True False
1144646184 False False False False False False
1144647823 False False False False False False
1144649461 False False False False False True
1144651100 False False False False False False
1144652738 False False False False False False
1144654376 False False False False False False
1144656015 True False False False True False
